block_idx,time_s,best_prn,best_doppler,best_tau_chips,peak_snr,peak_raw,in_phase_lag,correlation_width,label,label_name
0,0.0,2,3000,130.88,8.05434802803252,789.6833836025164,0.0,5.84,0,authentic
1,0.001,20,-1500,691.4,8.508172219033153,794.7454613062346,-462.48,5.04,0,authentic
2,0.002,23,-5000,690.88,8.659152259932085,807.6773519709243,-0.5199999999999818,4.84,0,authentic
3,0.003,18,-6500,470.04,9.150087715943865,864.0301051655464,-220.83999999999997,2.28,0,authentic
4,0.004,5,-7000,246.28,7.6705108489436755,744.9719115463803,-223.76000000000002,10.68,0,authentic
5,0.005,19,6000,293.92,8.598875634644923,839.5678495046751,47.640000000000015,3.24,0,authentic
6,0.006,10,-1500,876.52,8.28542532383539,816.7975351206101,-440.4000000000001,7.6,0,authentic
7,0.007,6,-9000,318.72,7.835087567915462,794.3167833162477,465.20000000000005,9.32,0,authentic
8,0.008,23,-3000,605.2,7.85378161929452,781.3870435223112,286.48,7.08,0,authentic
9,0.009000000000000001,14,-9500,1007.52,8.441048565985502,837.0508578758825,402.31999999999994,7.84,0,authentic
10,0.01,7,3500,921.8,8.579519243483471,825.0229876341157,-85.72000000000003,3.64,0,authentic
11,0.011,23,3000,796.16,8.17523830078842,796.0228101252409,-125.63999999999999,6.16,0,authentic
12,0.012,5,10000,557.08,8.288434139762693,780.0498613714037,-239.07999999999993,5.24,0,authentic
13,0.013000000000000001,11,0,472.8,8.017396832970192,789.7723619151427,-84.28000000000003,6.56,0,authentic
14,0.014,18,9000,619.12,8.307441575203613,791.2487529721999,146.32,6.88,0,authentic
15,0.015,23,-500,137.84,8.363747460462086,860.0095402317252,-481.28,5.2,0,authentic
16,0.016,23,-10000,329.08,8.582112112090597,858.8007644088524,191.23999999999998,2.64,0,authentic
17,0.017,30,4500,625.88,7.573771702591382,779.6046672664442,296.8,12.48,0,authentic
18,0.018000000000000002,30,5500,660.76,7.921970049742975,796.8491141779189,34.879999999999995,8.04,0,authentic
19,0.019,10,9500,75.08,7.861693392627371,813.7651255984781,437.32000000000005,8.72,0,authentic
20,0.02,30,-4500,835.52,8.019153176072475,800.0776862191535,-262.56000000000006,7.16,0,authentic
21,0.021,22,-9000,830.88,7.882101449704993,836.1389928247095,-4.639999999999986,7.84,0,authentic
22,0.022,8,8000,336.04,8.157567049977605,841.1922378074876,-494.84,7.12,0,authentic
23,0.023,20,-9500,617.04,8.436136767609323,837.8180107542842,280.99999999999994,7.04,0,authentic
24,0.024,8,5500,688.52,8.34036635356145,854.6486638944626,71.48000000000002,4.88,0,authentic
25,0.025,23,-500,878.0,7.705768668306488,771.7520763463997,189.48000000000002,11.04,0,authentic
26,0.026000000000000002,14,1000,861.64,8.658120341447818,844.5017911231049,-16.360000000000014,4.12,0,authentic
27,0.027,22,-3500,913.72,8.274006221803198,796.6419383533367,52.08000000000004,9.2,0,authentic
28,0.028,12,4500,861.88,8.594221252954673,851.9258311635942,-51.84000000000003,3.6,0,authentic
29,0.029,32,3500,13.16,8.225210972411793,802.6978840052,174.27999999999997,4.52,0,authentic
30,0.03,22,-3500,433.04,8.252992377923828,832.485135577908,419.88,8.8,0,authentic
31,0.031,17,6500,218.52,7.744252816457626,797.6481347394264,-214.52,7.64,0,authentic
32,0.032,23,1500,101.88,8.831510726091118,900.2421467115272,-116.64000000000001,3.72,0,authentic
33,0.033,3,-5000,867.48,8.411819405229958,844.637996770697,-257.4,5.08,0,authentic
34,0.034,30,9000,953.72,8.30211590702899,863.8678181313675,86.24000000000001,6.64,0,authentic
35,0.035,19,-6500,917.52,7.936636164798636,815.8653450599606,-36.200000000000045,8.36,0,authentic
36,0.036000000000000004,29,10000,690.6,8.129655433333818,831.8454973111809,-226.91999999999996,6.24,0,authentic
37,0.037,29,7500,334.16,8.6005399448993,851.85643283139,-356.44,3.4,0,authentic
38,0.038,22,-1000,736.08,8.269306182175317,846.6585842613349,401.92,7.0,0,authentic
39,0.039,22,-3500,1006.4,8.260733522784632,855.0134879138608,270.31999999999994,5.24,0,authentic
40,0.04,17,9000,184.92,8.664032950598195,872.494902126197,201.51999999999998,4.72,0,authentic
41,0.041,1,5000,248.88,8.233124056039639,824.833751712894,63.96000000000001,8.04,0,authentic
42,0.042,9,10000,290.92,7.90124526980183,848.7761109408731,42.04000000000002,5.92,0,authentic
43,0.043000000000000003,15,1000,823.12,8.741018787382421,870.0452646492231,-490.79999999999995,4.44,0,authentic
44,0.044,10,-5000,305.76,8.343542902200776,830.0099460497032,505.64,7.04,0,authentic
45,0.045,30,-2000,526.96,8.355339775334018,836.0441151307749,221.20000000000005,5.88,0,authentic
46,0.046,10,6000,829.4,8.31726455332517,848.9987868431149,302.43999999999994,5.6,0,authentic
47,0.047,8,2000,465.6,8.39426917245478,887.1376990737659,-363.79999999999995,6.2,0,authentic
48,0.048,7,1000,276.76,8.513323014388575,896.2842867857232,-188.84000000000003,3.92,0,authentic
49,0.049,14,-3500,807.48,7.8437934000220135,821.9250690733152,-492.28,8.4,0,authentic
50,0.05,10,9500,176.56,8.184076985965454,826.8813693340963,392.0799999999999,6.76,0,authentic
51,0.051000000000000004,11,-8500,524.44,8.111963457505269,849.6819401482275,347.88000000000005,5.88,0,authentic
52,0.052000000000000005,7,-1500,192.4,7.9283280897251025,836.0714965774617,-332.0400000000001,9.48,0,authentic
53,0.053,6,1500,59.88,8.230034323952614,860.3132306622127,-132.52,6.36,0,authentic
54,0.054,28,-10000,1022.76,7.989938599434521,831.2502706760253,-60.120000000000005,8.2,0,authentic
55,0.055,27,1500,1002.44,8.349534821619681,854.0021055031111,-20.319999999999936,6.32,0,authentic
56,0.056,32,1500,256.32,8.72104331439502,867.4134818824887,276.8799999999999,3.48,0,authentic
57,0.057,20,6000,806.44,8.104147956490769,835.8592119430932,-472.8799999999999,7.8,0,authentic
58,0.058,18,-8500,361.4,8.219564807061369,862.1515095432461,-445.0400000000001,8.68,0,authentic
59,0.059000000000000004,19,3000,884.6,8.115663470912773,837.686636399416,-499.79999999999995,7.08,0,authentic
60,0.06,13,4000,95.28,8.352259707206171,859.7766862256858,233.67999999999995,4.68,0,authentic
61,0.061,18,-4500,420.56,7.950609744778822,812.8270824256205,325.28,7.24,0,authentic
62,0.062,6,500,651.72,8.691695384860076,873.3546673160122,231.16000000000003,5.36,0,authentic
63,0.063,29,2500,235.2,8.11796399859074,825.3469836736426,-416.52000000000004,7.24,0,authentic
64,0.064,21,1500,215.76,8.259885270847818,858.9582807336677,-19.439999999999998,5.92,0,authentic
65,0.065,5,-4500,139.04,8.251365339336328,834.5031741502054,-76.72,5.92,0,authentic
66,0.066,23,7500,148.28,8.276951373698944,878.3823221054259,9.240000000000009,7.04,0,authentic
67,0.067,20,-1500,516.88,8.108169737123744,818.7430050113105,368.6,5.6,0,authentic
68,0.068,21,-9000,385.76,7.807262407639285,793.1595107231487,-131.12,9.12,0,authentic
69,0.069,18,-3000,522.48,8.009722820850659,835.3064339095503,136.72000000000003,6.64,0,authentic
70,0.07,17,7000,30.56,8.441492920267736,878.4180282053632,-491.92,4.48,0,authentic
71,0.07100000000000001,2,-7000,5.64,8.14826235074562,831.5661905667199,-24.919999999999998,6.68,0,authentic
72,0.07200000000000001,6,9500,413.56,8.369201518484996,849.4404708659553,407.92,6.64,0,authentic
73,0.073,6,1000,207.12,7.666952990902731,803.1921254980256,-206.44,10.08,0,authentic
74,0.074,23,9500,146.24,8.467843880655021,866.4897983362355,-60.879999999999995,5.4,0,authentic
75,0.075,29,7500,13.04,8.252291734287187,859.8571215145668,-133.20000000000002,6.88,0,authentic
76,0.076,22,-5500,193.52,7.594601517967357,818.9209604374003,180.48000000000002,9.0,0,authentic
77,0.077,30,0,197.8,7.830778705223117,830.7409131800432,4.280000000000001,7.36,0,authentic
78,0.078,25,5000,226.32,7.881800017598758,839.500793608534,28.519999999999982,7.48,0,authentic
79,0.079,22,1500,395.64,7.952806142910782,830.1677539094895,169.32,8.6,0,authentic
80,0.08,22,10000,136.72,8.670343647945696,879.3825766446214,-258.91999999999996,4.48,0,authentic
81,0.081,28,-7500,671.08,8.544985851298078,931.7028849347624,-488.64,3.16,0,authentic
82,0.082,31,4000,432.04,7.87501405590787,820.4415860467221,-239.04000000000002,7.64,0,authentic
83,0.083,3,8000,539.2,8.449935536439583,861.0618855821116,107.16000000000003,4.4,0,authentic
84,0.084,18,-9500,804.36,8.390090021986431,885.8604918921222,265.15999999999997,4.92,0,authentic
85,0.085,11,-5500,568.96,8.244502311031946,836.9421673927213,-235.39999999999998,6.28,0,authentic
86,0.08600000000000001,14,-5000,22.52,8.183703864709482,840.1398803042748,476.55999999999995,7.16,0,authentic
87,0.08700000000000001,14,-5000,184.52,9.180693922373079,951.6825628797706,162.0,1.72,0,authentic
88,0.088,6,-4500,789.8,7.952848682595014,860.0620959734812,-417.72,7.24,0,authentic
89,0.089,22,8500,536.08,8.225488813528468,842.9232826017632,-253.7199999999999,5.96,0,authentic
