block_idx,time_s,best_prn,best_doppler,best_tau_chips,peak_snr,peak_raw,in_phase_lag,correlation_width,label,label_name
245,0.245,14,9000,783.2,8.622575536125519,805.0992486979643,-323.7199999999999,4.48,1,spoofed
11,0.011,2,-6000,270.8,8.213539882913867,781.9765543505553,-457.64000000000004,4.44,1,spoofed
210,0.21,30,-10000,454.68,8.082414729282586,823.4389300337735,500.1600000000001,8.52,0,authentic
435,0.435,1,-9000,486.52,8.354364061459906,778.3554120356899,-410.96000000000004,6.52,1,spoofed
407,0.40700000000000003,23,-3000,226.4,8.361148797948303,772.74715672966,510.88,5.56,1,spoofed
26,0.026000000000000002,21,-3000,446.36,8.189967145880217,740.1828305785856,-50.31999999999999,6.88,1,spoofed
302,0.302,15,-7000,466.52,7.977562858793169,751.1180813119654,-13.240000000000009,6.28,1,spoofed
199,0.199,10,-1000,688.6,8.885960804244924,925.9898859213462,230.84000000000003,3.16,0,authentic
215,0.215,30,-3500,630.88,7.894037126495748,799.4606657110132,-241.48000000000002,7.44,0,authentic
81,0.081,20,1500,391.84,7.88685295297045,739.4877912341608,502.52,9.24,1,spoofed
87,0.08700000000000001,28,-7000,549.68,8.308157801150971,787.2150602203823,454.23999999999995,5.48,1,spoofed
429,0.429,14,0,550.04,8.606914989196511,899.2432443287261,-435.9200000000001,3.68,0,authentic
39,0.039,2,6500,880.76,8.663525141753434,777.7937939886995,272.84000000000003,4.24,1,spoofed
90,0.09,32,-2500,132.16,8.310734552276017,782.531677213966,450.88,5.84,1,spoofed
233,0.233,29,8500,234.2,8.084684959106104,737.7238450402468,159.51999999999998,6.44,1,spoofed
405,0.405,28,4000,224.52,8.028416369377222,793.8632218313774,-499.36,6.36,0,authentic
375,0.375,5,-6500,818.04,8.783340879453073,824.4616640263175,149.95999999999992,4.28,1,spoofed
355,0.355,22,8500,933.24,8.540030322878444,877.3777178199917,-84.75999999999999,4.8,0,authentic
72,0.07200000000000001,1,7500,867.08,8.621303435978225,808.407200375226,61.40000000000009,3.92,1,spoofed
316,0.316,11,8000,895.64,8.395494694433857,767.3720955098718,435.47999999999996,6.32,1,spoofed
228,0.228,22,-7000,921.48,8.340719097980347,781.0226737890223,292.88,5.0,1,spoofed
139,0.139,20,7500,399.04,8.311008688309272,803.4223499105659,-11.039999999999964,5.44,0,authentic
256,0.256,26,-7500,416.16,7.765592529436702,810.6615094414078,-467.68,7.0,0,authentic
506,0.506,6,-9500,493.48,8.615490186454174,798.9094191949831,-288.19999999999993,4.12,1,spoofed
421,0.421,9,-1500,256.68,8.01567551436944,755.7694318018135,474.28,6.68,1,spoofed
438,0.438,30,-1500,178.6,8.48980228593973,793.8625772802499,11.400000000000006,4.76,1,spoofed
249,0.249,16,-6000,673.44,8.24595878109944,836.4176937946669,151.6400000000001,4.92,0,authentic
213,0.213,17,-2000,228.24,8.580540252820446,837.5924871367326,-143.56,3.4,0,authentic
312,0.312,19,-10000,359.12,8.386680142096099,797.0250677900965,364.91999999999996,4.48,0,authentic
481,0.481,29,500,727.08,8.346655485126547,857.3008633527766,-247.36,4.76,0,authentic
93,0.093,3,-500,473.92,8.416024713037862,801.6763372597928,288.24,3.56,1,spoofed
136,0.136,16,-2500,404.72,8.420597388339376,788.6782371984639,288.40000000000003,5.84,0,authentic
59,0.059000000000000004,19,3000,884.6,8.115663470912773,837.686636399416,-499.79999999999995,7.08,0,authentic
359,0.359,14,-7500,832.68,8.093830828535443,814.8706206918549,-391.80000000000007,7.84,0,authentic
280,0.28,30,5500,16.92,8.328165979940634,841.1641300702523,35.67999999999995,5.4,0,authentic
442,0.442,6,5000,674.32,8.663991670235255,796.8609508733067,99.44000000000005,7.28,1,spoofed
454,0.454,25,9500,171.0,8.04728247849281,753.9231756546135,-127.39999999999998,6.68,1,spoofed
309,0.309,22,-2000,753.56,7.7127105504995725,796.9912206547813,-55.24000000000001,10.84,0,authentic
174,0.17400000000000002,6,6500,771.92,7.978829627915733,766.1482668829524,433.43999999999994,9.68,0,authentic
432,0.432,27,-10000,534.6,8.131140101608466,839.127553267534,215.84000000000003,5.08,0,authentic
242,0.242,30,1500,243.96,7.914492880061034,759.0912648183029,451.2800000000001,8.12,1,spoofed
384,0.384,32,-4500,624.16,8.415435991715208,793.0484127994606,-6.519999999999982,5.72,1,spoofed
428,0.428,14,2500,985.96,8.00404262465002,826.5105171493744,94.72000000000003,9.16,0,authentic
86,0.08600000000000001,17,-1000,95.44,8.138852015149373,776.1007204143166,202.6400000000001,7.24,1,spoofed
290,0.29,18,-5000,504.84,8.403756696866518,852.1282445607193,11.0,3.76,0,authentic
70,0.07,17,7000,30.56,8.441492920267736,878.4180282053632,-491.92,4.48,0,authentic
154,0.154,29,-6000,190.92,8.39948138331832,781.0187209218868,-416.0400000000001,3.28,1,spoofed
96,0.096,6,-5000,377.12,7.775195082857799,812.1109274259733,279.32,7.4,0,authentic
10,0.01,7,3500,921.8,8.579519243483471,825.0229876341157,-85.72000000000003,3.64,0,authentic
296,0.296,17,-4500,294.36,7.944435731665089,821.1089407454086,-283.19999999999993,7.92,0,authentic
401,0.401,2,-7500,37.76,7.4730107218925435,722.4860008500503,-166.08,9.76,1,spoofed
73,0.073,9,3500,298.4,8.092832319831395,757.983075324289,454.31999999999994,7.04,1,spoofed
286,0.28600000000000003,26,5500,128.52,8.301498516568431,828.9703029559324,468.79999999999995,4.88,0,authentic
101,0.101,22,-1500,335.28,8.960492289470658,900.349273283725,351.76,3.92,0,authentic
497,0.497,20,7500,865.76,8.577550951316908,822.3023199721526,276.31999999999994,4.68,0,authentic
322,0.322,17,-7000,66.88,8.332765091136888,773.0554230873125,175.76,6.16,1,spoofed
468,0.468,7,-3500,626.24,8.090032085316198,822.6700437115204,199.16000000000003,6.88,0,authentic
