block_idx,time_s,best_prn,best_doppler,best_tau_chips,peak_snr,peak_raw,in_phase_lag,correlation_width,label,label_name
0,0.0,22,2000,886.64,8.086901080539077,766.8668681373002,0.0,4.72,1,spoofed
1,0.001,19,-500,140.4,8.1139141858019,809.2678101785681,276.76,6.6,1,spoofed
2,0.002,11,-3000,367.96,8.89499258510476,842.6902596332018,227.55999999999997,3.0,1,spoofed
3,0.003,20,1500,983.92,8.527123369509136,770.8508759508899,-407.03999999999996,6.32,1,spoofed
4,0.004,23,2000,1018.28,7.82100707015998,741.0876093505042,34.360000000000014,7.72,1,spoofed
5,0.005,5,4500,22.92,8.141979929381522,771.760993279284,27.639999999999986,6.72,1,spoofed
6,0.006,8,-1500,263.36,7.971057083374802,728.9943311635101,240.44,8.12,1,spoofed
7,0.007,3,-4000,959.04,8.42608756841079,801.991688715985,-327.32000000000005,4.2,1,spoofed
8,0.008,31,0,434.6,8.637987149486477,833.35918947159,498.56000000000006,3.6,1,spoofed
9,0.009000000000000001,26,-4000,924.16,9.111331416120452,846.1052673958229,489.55999999999995,2.32,1,spoofed
10,0.01,14,-2500,728.44,8.385313270766057,802.5091998896798,-195.7199999999999,5.08,1,spoofed
11,0.011,2,-6000,270.8,8.213539882913867,781.9765543505553,-457.64000000000004,4.44,1,spoofed
12,0.012,16,6500,726.64,8.381938061965574,766.6674174778012,455.84,6.68,1,spoofed
13,0.013000000000000001,16,3000,259.6,8.782613802795606,789.9459675499623,-467.03999999999996,4.56,1,spoofed
14,0.014,20,-6000,942.96,8.477496911933857,794.495996731268,-339.64,4.76,1,spoofed
15,0.015,10,2500,914.96,8.569224800193554,782.3368986836688,-28.0,4.88,1,spoofed
16,0.016,28,-1000,870.72,8.919340905084352,795.2304126117812,-44.24000000000001,2.44,1,spoofed
17,0.017,9,5000,83.72,8.434362774204205,837.9870382837711,236.0,4.12,1,spoofed
18,0.018000000000000002,14,-1500,688.44,8.205262184641795,773.487750678136,-418.28,8.0,1,spoofed
19,0.019,2,-1000,746.12,7.6157039341367465,732.366101283073,57.67999999999995,11.12,1,spoofed
20,0.02,10,-5500,470.28,8.42489083450849,792.4372262989175,-275.84000000000003,6.12,1,spoofed
21,0.021,13,-6500,138.72,7.794160279326095,740.5764472152248,-331.55999999999995,11.04,1,spoofed
22,0.022,1,-2500,108.28,7.871383084245021,746.1831830774152,-30.439999999999998,7.64,1,spoofed
23,0.023,19,-6000,795.4,8.255754660696622,776.738640586853,-335.88,6.76,1,spoofed
24,0.024,3,9000,838.96,8.017739935063984,758.5577792509955,43.56000000000006,7.52,1,spoofed
25,0.025,2,3000,496.68,8.233568812620197,773.7212921818779,-342.28000000000003,6.4,1,spoofed
26,0.026000000000000002,21,-3000,446.36,8.189967145880217,740.1828305785856,-50.31999999999999,6.88,1,spoofed
27,0.027,23,-4000,871.48,7.900577604921674,754.8749750867448,425.12,7.48,1,spoofed
28,0.028,4,2500,124.96,8.262298839749883,753.5688748307159,276.48,6.96,1,spoofed
29,0.029,29,5000,301.48,7.764913196229009,746.8278225281061,176.52000000000004,10.2,1,spoofed
